name,cod_distrito,distrito,geometry
Bar Metropolitano,6,Tetuán,POINT (-3.7116765 40.4467486)
Bar Noa,2,Arganzuela,POINT (-3.692028 40.404227)
Bar Nostrum,14,Moratalaz,POINT (-3.6501366 40.4064451)
Bar Nuevo M40,16,Hortaleza,POINT (-3.6480436 40.4802076)
Bar Paquito,20,San Blas-Canillejas,POINT (-3.6284583 40.4407856)
Bar Paris,6,Tetuán,POINT (-3.7152232 40.4762071)
Bar Pichi Sushi,13,Puente de Vallecas,POINT (-3.6623374 40.3984553)
Bar Pirámides,2,Arganzuela,POINT (-3.7150846 40.4012914)
Bar Piscis,12,Usera,POINT (-3.7069436 40.3833257)
Bar Plaza Mayor,1,Centro,POINT (-3.7068389 40.4150004)
Bar Ramón,6,Tetuán,POINT (-3.7047803 40.4636577)
Bar Refra,1,Centro,POINT (-3.7097744 40.4162446)
Bar Restaurante A Todas Horas,16,Hortaleza,POINT (-3.6397737 40.4751987)
Bar Restaurante Donate,7,Chamberí,POINT (-3.7025891 40.443355)
Bar Restaurante El Paleto,3,Retiro,POINT (-3.6717472 40.4164723)
Bar Restaurante Emaus,4,Salamanca,POINT (-3.6783029 40.4205502)
Bar Restaurante La Casa del Chicharrón y el Bofe,6,Tetuán,POINT (-3.7048549 40.4490673)
Bar Restaurante La Dehesa,6,Tetuán,POINT (-3.7116325 40.4569624)
Bar Restaurante La Ponderosa,8,Fuencarral-El Pardo,POINT (-3.7175817 40.4820951)
Bar Restaurante La marmita,18,Villa de Vallecas,POINT (-3.6325818 40.3769821)
Bar Restaurante Los Faroles,6,Tetuán,POINT (-3.7069156 40.4574197)
Bar Restaurante Montes,8,Fuencarral-El Pardo,POINT (-3.7775953 40.5201689)
Bar Restaurante Neruda,14,Moratalaz,POINT (-3.6426379 40.3915603)
Bar Restaurante Olavide,6,Tetuán,POINT (-3.6933931 40.4691229)
Bar Restaurante Risol,9,Moncloa-Aravaca,POINT (-3.7194219 40.4305385)
Bar Restaurante Salino,3,Retiro,POINT (-3.678861 40.4194723)
Bar Restaurante Victoria,20,San Blas-Canillejas,POINT (-3.6093223 40.447288)
Bar Retaurante Estoril,1,Centro,POINT (-3.7154805 40.4080038)
Bar Sanlúcar,1,Centro,POINT (-3.7132115 40.4110229)
Bar Santa Elena,6,Tetuán,POINT (-3.71078 40.4473961)
Bar Santa Fe - Futbol Sport Bar - Pizzería,1,Centro,POINT (-3.7099477 40.4130629)
Bar Sidrería Ruval,15,Ciudad Lineal,POINT (-3.6497154 40.4401336)
Bar Supera,20,San Blas-Canillejas,POINT (-3.6243162 40.422291)
Bar Tineo,1,Centro,POINT (-3.7081185 40.4151033)
Bar Tomate,4,Salamanca,POINT (-3.6905514 40.4279586)
Bar Tomelloso,13,Puente de Vallecas,POINT (-3.6575345 40.3789728)
Bar Vinos,7,Chamberí,POINT (-3.701794 40.4287555)
Bar Welcome Restaurante,16,Hortaleza,POINT (-3.6691191 40.4887478)
Bar barbaroja,6,Tetuán,POINT (-3.6980313 40.4511908)
Bar los Arcos,21,Barajas,POINT (-3.5815503 40.4512553)
Bar los Chiquitos,2,Arganzuela,POINT (-3.7182623 40.3966003)
Bar-Mesón Jardín de Baco,19,Vicálvaro,POINT (-3.6083935 40.3845875)
Bar-Restaurante La Parada,21,Barajas,POINT (-3.5813898 40.4512504)
Baraka's,9,Moncloa-Aravaca,POINT (-3.7197831 40.4285531)
Barandales,3,Retiro,POINT (-3.6753811 40.41948)
Baratie,6,Tetuán,POINT (-3.7107606 40.4776671)
Baravaca,9,Moncloa-Aravaca,POINT (-3.7836549 40.4655114)
Barbacoa,1,Centro,POINT (-3.708731 40.4235559)
Barinka,1,Centro,POINT (-3.7041077 40.414802)
Barra Cruda,21,Barajas,POINT (-3.5916346 40.4625212)
Barra de Pintxos,16,Hortaleza,POINT (-3.6116971 40.4909132)
Barrera,7,Chamberí,POINT (-3.710065 40.4350797)
Barrilón,16,Hortaleza,POINT (-3.6670455 40.4830165)
Barrio,16,Hortaleza,POINT (-3.6452675 40.4685596)
Barrio Humedo,3,Retiro,POINT (-3.6783994 40.4179154)
Bastardis,11,Carabanchel,POINT (-3.7586121 40.3622128)
Bayres Beef,5,Chamartín,POINT (-3.6756419 40.4482423)
